epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,4931.92,0.54964,0.31608,0.9485,0.97502,0.98045,0.99311,0.88235,0.57425,0.26947,0.9105,0.000231213,0.000231213,0.000231213
89,4983.98,0.55092,0.31935,0.9591,0.96937,0.98022,0.99309,0.8874,0.56549,0.26884,0.90359,0.00021471,0.00021471,0.00021471
90,5035.34,0.55221,0.3193,0.95854,0.96876,0.96314,0.9925,0.88516,0.56788,0.27796,0.90331,0.000198206,0.000198206,0.000198206
91,5095.22,0.454,0.24055,0.90564,0.97025,0.97025,0.99194,0.87835,0.55921,0.27595,0.90605,0.000181703,0.000181703,0.000181703
92,5146.59,0.45237,0.23404,0.89957,0.96746,0.97566,0.99229,0.88268,0.56534,0.27452,0.90479,0.0001652,0.0001652,0.0001652
93,5198.23,0.44345,0.22855,0.89561,0.97615,0.97155,0.9915,0.87574,0.57239,0.28078,0.91221,0.000148696,0.000148696,0.000148696
94,5250.36,0.43828,0.22786,0.89319,0.94407,0.97248,0.99157,0.87593,0.57189,0.29306,0.90887,0.000132193,0.000132193,0.000132193
95,5302.69,0.43072,0.2295,0.89389,0.96269,0.96918,0.99135,0.87726,0.5699,0.2843,0.90693,0.00011569,0.00011569,0.00011569
96,5355.59,0.43117,0.22632,0.89028,0.96739,0.97295,0.9919,0.88105,0.57134,0.27698,0.90426,9.91865e-05,9.91865e-05,9.91865e-05
97,5407.35,0.43051,0.22465,0.90182,0.96953,0.97052,0.99186,0.88474,0.56392,0.27747,0.90359,8.26832e-05,8.26832e-05,8.26832e-05
98,5458.59,0.4209,0.21973,0.88991,0.9764,0.97295,0.99222,0.88487,0.56133,0.27272,0.90177,6.61799e-05,6.61799e-05,6.61799e-05
99,5509.79,0.41685,0.21715,0.88755,0.97081,0.96442,0.99156,0.88671,0.55998,0.27756,0.90093,4.96766e-05,4.96766e-05,4.96766e-05
100,5560.7,0.42546,0.21922,0.89276,0.9733,0.96761,0.99177,0.88789,0.55802,0.27603,0.89987,3.31733e-05,3.31733e-05,3.31733e-05
