id,class_id,confidence,detection_date,detection_hour,detection_minute,detection_second,detection_microsecond,duration,location,status,timestamp_date,timestamp_hour,timestamp_minute,timestamp_second,timestamp_microsecond
-OJZRntF8w-2cZJgEbmQ,0,0.7012742161750793,2025-02-20,12,41,28,478983,0.043402,Área de monitoreo 1,pending,2025-02-20,12,41,28,479001
-OJZS-DOmRZj4YOrGFFx,0,0.7372347712516785,2025-02-20,12,42,18,987391,0.038151,Área de monitoreo 1,pending,2025-02-20,12,42,18,987416
-OJZSDsOX6j0na_9Qtri,0,0.7081019878387451,2025-02-20,12,43,19,27935,0.03156,Área de monitoreo 1,pending,2025-02-20,12,43,19,27963
-OJZSQI-F8hzNI8bTagH,0,0.7459020614624023,2025-02-20,12,44,9,866685,0.028995,Área de monitoreo 1,pending,2025-02-20,12,44,9,866701
-OJZSfwwTd42uLyeN_8B,0,0.7249254584312439,2025-02-20,12,45,18,98836,0.040588,Área de monitoreo 1,pending,2025-02-20,12,45,18,98862
-OJZStIRIp-vr_d7lk8I,0,0.7387667298316956,2025-02-20,12,46,12,784205,0.0218,Área de monitoreo 1,pending,2025-02-20,12,46,12,784218
-OJZT4xBeyRgJabZBttT,0,0.7097631692886353,2025-02-20,12,47,4,584898,0.064519,Área de monitoreo 1,pending,2025-02-20,12,47,4,584914
-OJZTKfBsOikHyI-K_4P,0,0.7009463906288147,2025-02-20,12,48,8,984506,0.02681,Área de monitoreo 1,pending,2025-02-20,12,48,8,984522
-OJZTX8yIJlLOHwh7ZVN,0,0.8234567046165466,2025-02-20,12,49,0,96576,0.044385,Área de monitoreo 1,pending,2025-02-20,12,49,0,96598
-OJZTiREzARQPZ97TMf2,0,0.8290089964866638,2025-02-20,12,49,50,433153,0.042429,Área de monitoreo 1,pending,2025-02-20,12,49,50,433189
-OJZTvqhT3Knf2-9wHJA,0,0.7356260418891907,2025-02-20,12,50,45,382088,0.018638,Área de monitoreo 1,pending,2025-02-20,12,50,45,382100
-OJZU7EyIZKbpOEpf_BT,0,0.7824369072914124,2025-02-20,12,51,36,145062,0.052629,Área de monitoreo 1,pending,2025-02-20,12,51,36,145088
-OJZUL7wlV19NgR6llpi,0,0.7365248799324036,2025-02-20,12,52,33,7848,0.017863,Área de monitoreo 1,pending,2025-02-20,12,52,33,7858
-OJZUYnfRviHRx8wq9AF,0,0.7221590876579285,2025-02-20,12,53,28,992226,0.020085,Área de monitoreo 1,pending,2025-02-20,12,53,28,992239
